id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
0,1,RafaelNadal,ESP,32.0,1986.06.03,2001.0,85.0,185.0,"Left-Handed,Two-Handed",3156.0,1679.0,69.0,72.0,57.0,5493.0,67.0,12700.0,86.0,67.0,34.0,55.0,9410.0,45.0,12621.0,34.0,42.0,54.0,102326975,7738347.0,913-188,40-3,"CarlosMoya,FranciscoRoig","Manacor,Mallorca,Spain","Manacor,Mallorca,Spain"
1,2,RogerFederer,SUI,37.0,1981.08.08,1998.0,85.0,185.0,"Right-Handed,One-Handed",10645.0,2578.0,62.0,77.0,57.0,5969.0,67.0,17476.0,89.0,70.0,33.0,51.0,11121.0,41.0,17085.0,27.0,40.0,54.0,117507812,5622130.0,1165-255,33-5,"IvanLjubicic,SeverinLuthi","Basel,Switzerland",Switzerland
2,3,JuanMartindelPotro,ARG,29.0,1988.09.23,2005.0,97.0,198.0,"Right-Handed,Two-Handed",4159.0,1317.0,64.0,74.0,53.0,2906.0,64.0,6850.0,85.0,67.0,30.0,52.0,4197.0,42.0,6860.0,26.0,39.0,52.0,22518923,3619601.0,421-166,37-10,SebastianPrieto,"Tandil,Argentina","Tandil,Argentina"
3,4,AlexanderZverev,GER,21.0,1997.04.20,2013.0,90.0,198.0,"Right-Handed,Two-Handed",1653.0,878.0,63.0,73.0,51.0,1418.0,61.0,3000.0,82.0,65.0,30.0,50.0,1693.0,43.0,2999.0,24.0,38.0,51.0,11555154,4417631.0,160-83,43-13,"IvanLendl,AlexanderZverevSr.","Hamburg,Germany","MonteCarlo,Monaco"
4,5,KevinAnderson,RSA,32.0,1986.05.18,2007.0,93.0,203.0,"Right-Handed,Two-Handed",6364.0,1539.0,65.0,77.0,53.0,2640.0,66.0,6731.0,87.0,68.0,26.0,47.0,3056.0,36.0,6653.0,17.0,34.0,51.0,13486136,3210902.0,304-214,33-13,BradStine,"Johannesburg,SouthAfrica","GulfStream,FL,USA"
5,6,NovakDjokovic,SRB,31.0,1987.05.22,2003.0,77.0,188.0,"Right-Handed,Two-Handed",5124.0,2139.0,65.0,73.0,55.0,4987.0,65.0,11861.0,85.0,67.0,34.0,55.0,8358.0,44.0,11539.0,32.0,42.0,54.0,115310890,5472973.0,816-173,33-10,MarianVajda,"Belgrade,Serbia","MonteCarlo,Monaco"
6,7,MarinCilic,CRO,29.0,1988.09.28,2005.0,89.0,198.0,"Right-Handed,Two-Handed",6041.0,1877.0,56.0,77.0,53.0,3810.0,64.0,8569.0,84.0,66.0,30.0,50.0,5031.0,39.0,8466.0,23.0,38.0,52.0,24534130,3614854.0,468-244,33-12,IvanCinkus,"Medjugorje,Bosnia-Herzegovina","MonteCarlo,Monaco"
7,8,GrigorDimitrov,BUL,27.0,1991.05.16,2008.0,80.0,191.0,"Right-Handed,One-Handed",3202.0,1505.0,62.0,75.0,52.0,2585.0,63.0,5669.0,83.0,66.0,29.0,49.0,3142.0,38.0,5571.0,21.0,37.0,51.0,15704178,1588604.0,279-176,22-15,DanielVallverdu,"Haskovo,Bulgaria","MonteCarlo,Monaco"
8,9,DominicThiem,AUT,25.0,1993.09.03,2011.0,79.0,185.0,"Right-Handed,One-Handed",1888.0,944.0,59.0,74.0,53.0,1876.0,63.0,3990.0,83.0,65.0,30.0,50.0,2441.0,38.0,4012.0,23.0,38.0,51.0,12625886,3077042.0,209-123,38-14,GünterBresnik,"WienerNeustadt,Austria","Lichtenwörth,Austria"
9,10,DavidGoffin,BEL,27.0,1990.12.07,2009.0,68.0,180.0,"Right-Handed,Two-Handed",1797.0,1209.0,58.0,71.0,51.0,2366.0,61.0,4139.0,78.0,63.0,31.0,53.0,2773.0,41.0,4186.0,27.0,40.0,51.0,10534540,1442325.0,226-142,25-14,ThierryVanCleemput,"Rocourt,Belgium","MonteCarlo,Monaco"
10,11,JohnIsner,USA,33.0,1985.04.26,2007.0,108.0,208.0,"Right-Handed,Two-Handed",10617.0,1361.0,69.0,78.0,56.0,2407.0,71.0,8463.0,92.0,71.0,23.0,42.0,2880.0,31.0,8356.0,11.0,30.0,51.0,15745397,2924975.0,385-235,26-15,"ReneMoller,DavidMacpherson","Greensboro,NC,USA","Dallas,TX,USA"
11,12,PabloCarrenoBusta,ESP,27.0,1991.07.12,2009.0,78.0,188.0,"Right-Handed,Two-Handed",1038.0,495.0,63.0,68.0,51.0,1833.0,59.0,3199.0,76.0,62.0,29.0,52.0,1882.0,43.0,3198.0,25.0,38.0,50.0,7425253,1523040.0,141-128,30-18,"SamuelLopez,CesarFabregas","Gijon,Spain","Barcelona,Spain"
12,13,DiegoSchwartzman,ARG,26.0,1992.08.16,2010.0,64.0,170.0,"Right-Handed,Two-Handed",468.0,512.0,61.0,65.0,50.0,1450.0,56.0,2225.0,71.0,59.0,33.0,55.0,1620.0,44.0,2256.0,32.0,42.0,50.0,4699590,1569771.0,97-95,27-19,JuanIgnacioChela,"BuenosAires,Argentina","BuenosAires,Argentina"
13,14,FabioFognini,ITA,31.0,1987.05.24,2004.0,79.0,178.0,"Right-Handed,Two-Handed",1763.0,2210.0,59.0,67.0,48.0,4455.0,57.0,6772.0,72.0,60.0,32.0,51.0,4368.0,43.0,6832.0,27.0,39.0,50.0,10835401,1388564.0,318-275,36-16,FrancoDavin,"Sanremo,Italy","ArmadiTaggia,Italy"
14,15,StefanosTsitsipas,GRE,20.0,1998.08.12,2016.0,85.0,193.0,"Right-Handed,One-Handed",464.0,167.0,58.0,75.0,53.0,342.0,61.0,820.0,84.0,66.0,27.0,48.0,364.0,39.0,806.0,18.0,34.0,50.0,2008000,1634045.0,34-30,30-20,ApostolosTsitsipas,"Athens,Greece","Nicosia,Cyprus"
15,16,KyleEdmund,GBR,23.0,1995.01.08,2012.0,83.0,188.0,"Right-Handed,Two-Handed",907.0,428.0,59.0,73.0,52.0,1007.0,63.0,1940.0,81.0,65.0,27.0,51.0,1047.0,39.0,1918.0,21.0,36.0,50.0,3705169,1536896.0,79-80,26-17,FredrikRosengren,"Johannesburg,SouthAfrica","Nassau,Bahamas"
16,17,LucasPouille,FRA,24.0,1994.02.23,2012.0,81.0,185.0,"Right-Handed,Two-Handed",1405.0,655.0,56.0,74.0,51.0,1237.0,63.0,2318.0,80.0,64.0,27.0,49.0,1160.0,39.0,2316.0,20.0,36.0,50.0,5621483,1040918.0,106-82,21-16,EmmanuelPlanque,"Grande-Synthe,France","Dubai,UAE"
17,18,JackSock,USA,25.0,1992.09.24,2011.0,84.0,191.0,"Right-Handed,Two-Handed",1772.0,1176.0,58.0,74.0,53.0,1623.0,64.0,3385.0,83.0,65.0,27.0,48.0,1697.0,39.0,3387.0,19.0,35.0,50.0,9294710,418591.0,158-118,5-15,MarkKnowles,"Lincoln,NE,USA","KansasCity,KS,USA"
